"(Excl. Tax)","(Excl. VAT)"
"(Incl. Tax)","(Incl. VAT)"
"%1 was updated in your shopping cart.","%1 was updated in your shopping basket."
"Account Dashboard","My Account"
"Add selections to my cart","Add selections to my basket"
"Add to Cart","Add to Basket"
"Add to Shopping Cart","Add to Shopping Basket"
"Apply Coupon","Apply Discount Code"
"Are you sure you want to clear your cart?","Are you sure you want to clear your basket?"
"Are you sure you want to delete all items from shopping cart?","Are you sure you want to remove all items from your shopping basket?"
"Are you sure you want to remove all items from your shopping cart?","Are you sure you want to remove all items from your shopping basket?"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping basket?"
"As low as","From"
"Cart Subtotal","Basket Subtotal"
"Clear my shopping cart","Clear my shopping basket"
"Clear Shopping Cart","Clear Shopping Basket"
"Could not add the product with SKU ""%1"" to the shopping cart","Could not add the product with SKU ""%1"" to the shopping basket"
"Could not add the product with SKU ""%1"" to the shopping cart: %2","Could not add the product with SKU ""%1"" to the shopping basket: %2"
"Customize %1","Customise %1"
"Customize and Add to Cart","Customise and Add to Basket"
"Default Shipping Address","Default Delivery Address"
"Display Cart Summary","Display Basket Summary"
"Display Mini Cart","Display Mini Basket"
"Display number of items in cart","Display number of items in basket"
"Edit Your Cart","Edit Your Basket"
"Enter your billing address to get a tax estimate.","Enter your billing address to get a VAT estimate."
"Estimate Shipping and Tax","Estimate Shipping and VAT"
"Estimate Tax","Estimate VAT"
"Excl. tax:","Excl. VAT:"
"Gift messages can't be used for an empty cart. Add an item and try again.","Gift messages can't be used for an empty basket. Add an item and try again."
"Grand Total","Total"
"Grand Total Excl. Tax","Total Excl. VAT"
"Grand Total Incl. Tax","Total Incl. VAT"
"In Cart","In Basket"
"Including Tax","Including VAT"
"Excluding Tax","Excluding VAT"
"Including and Excluding Tax","Including and Excluding VAT"
"Item in Cart","Item in Basket"
"Items in Cart","Items in Basket"
"Jot us a note and we’ll get back to you as quickly as possible.","Send us a message and we’ll get back to you as quickly as possible."
